uid,entity_id,original_uid,split
0,uid0,0,test
1,uid1,1,train
2,uid2,2,train
3,uid3,3,train
4,uid4,4,test
5,uid5,5,train
6,uid6,6,train
7,uid7,7,train
8,uid8,8,train
9,uid9,9,train
10,uid10,10,train
11,uid11,11,train
12,uid12,12,train
13,uid13,13,train
14,uid14,14,train
15,uid15,15,train
16,uid16,16,train
17,uid17,17,train
18,uid18,18,train
19,uid19,19,test
20,uid20,20,train
21,uid21,21,train
22,uid22,22,train
23,uid23,23,train
24,uid24,24,train
25,uid25,25,train
26,uid26,26,train
27,uid27,27,train
28,uid28,28,train
29,uid29,29,test
30,uid30,30,test
31,uid31,31,train
32,uid32,32,train
33,uid33,33,train
34,uid34,34,train
35,uid35,35,train
36,uid36,36,train
37,uid37,37,train
38,uid38,38,train
39,uid39,39,train
40,uid40,40,train
41,uid41,41,test
42,uid42,42,train
43,uid43,43,train
44,uid44,44,train
45,uid45,45,train
46,uid46,46,test
47,uid47,47,train
48,uid48,48,train
49,uid49,49,train
50,uid50,50,train
51,uid51,51,train
52,uid52,52,train
53,uid53,53,train
54,uid54,54,train
55,uid55,55,train
56,uid56,56,train
57,uid57,57,test
58,uid58,58,train
59,uid59,59,test
60,uid60,60,train
61,uid61,61,train
62,uid62,62,test
63,uid63,63,train
64,uid64,64,train
65,uid65,65,train
66,uid66,66,train
67,uid67,67,test
68,uid68,68,train
69,uid69,69,train
70,uid70,70,train
71,uid71,71,train
72,uid72,72,test
73,uid73,73,train
74,uid74,74,train
75,uid75,75,test
76,uid76,76,test
77,uid77,77,train
78,uid78,78,train
79,uid79,79,train
80,uid80,80,train
81,uid81,81,train
82,uid82,82,train
83,uid83,83,test
84,uid84,84,train
85,uid85,85,train
86,uid86,86,train
87,uid87,87,train
88,uid88,88,test
89,uid89,89,test
90,uid90,90,train
91,uid91,91,train
92,uid92,92,train
93,uid93,93,train
94,uid94,94,train
95,uid95,95,train
96,uid96,96,train
97,uid97,97,train
98,uid98,98,train
99,uid99,99,train
100,uid100,100,test
101,uid101,101,train
102,uid102,102,train
103,uid103,103,test
104,uid104,104,train
105,uid105,105,train
106,uid106,106,test
107,uid107,107,train
108,uid108,108,train
109,uid109,109,train
110,uid110,110,test
111,uid111,111,train
112,uid112,112,train
113,uid113,113,train
114,uid114,114,test
115,uid115,115,train
116,uid116,116,train
117,uid117,117,train
118,uid118,118,train
119,uid119,119,train
120,uid120,120,train
121,uid121,121,test
122,uid122,122,train
123,uid123,123,train
124,uid124,124,train
125,uid125,125,test
126,uid126,126,train
127,uid127,127,test
128,uid128,128,test
129,uid129,129,train
130,uid130,130,train
131,uid131,131,train
132,uid132,132,train
133,uid133,133,train
134,uid134,134,train
135,uid135,135,test
136,uid136,136,train
137,uid137,137,train
138,uid138,138,train
139,uid139,139,test
140,uid140,140,train
141,uid141,141,train
142,uid142,142,test
143,uid143,143,train
144,uid144,144,test
145,uid145,145,train
146,uid146,146,train
147,uid147,147,train
148,uid148,148,train
149,uid149,149,train
150,uid150,150,train
151,uid151,151,test
152,uid152,152,train
153,uid153,153,train
154,uid154,154,test
155,uid155,155,train
156,uid156,156,train
157,uid157,157,train
158,uid158,158,train
159,uid159,159,train
160,uid160,160,train
161,uid161,161,train
162,uid162,162,train
163,uid163,163,train
164,uid164,164,train
165,uid165,165,test
166,uid166,166,train
167,uid167,167,train
168,uid168,168,train
169,uid169,169,test
170,uid170,170,train
171,uid171,171,train
172,uid172,172,train
173,uid173,173,test
174,uid174,174,train
175,uid175,175,train
176,uid176,176,train
177,uid177,177,test
178,uid178,178,train
179,uid179,179,train
180,uid180,180,test
181,uid181,181,train
182,uid182,182,train
183,uid183,183,train
184,uid184,184,test
185,uid185,185,train
186,uid186,186,test
187,uid187,187,train
188,uid188,188,train
189,uid189,189,train
190,uid190,190,test
191,uid191,191,train
192,uid192,192,train
193,uid193,193,train
194,uid194,194,test
195,uid195,195,train
196,uid196,196,train
197,uid197,197,train
198,uid198,198,train
199,uid199,199,train
200,uid200,200,test
201,uid201,201,train
202,uid202,202,train
203,uid203,203,train
204,uid204,204,train
205,uid205,205,test
206,uid206,206,train
207,uid207,207,test
208,uid208,208,train
209,uid209,209,test
210,uid210,210,train
211,uid211,211,test
212,uid212,212,test
213,uid213,213,train
214,uid214,214,train
215,uid215,215,test
216,uid216,216,train
217,uid217,217,test
218,uid218,218,train
219,uid219,219,test
220,uid220,220,train
221,uid221,221,train
222,uid222,222,test
223,uid223,223,test
224,uid224,224,train
225,uid225,225,train
226,uid226,226,train
227,uid227,227,train
228,uid228,228,test
229,uid229,229,train
230,uid230,230,test
231,uid231,231,train
232,uid232,232,train
233,uid233,233,train
234,uid234,234,test
235,uid235,235,test
236,uid236,236,test
237,uid237,237,train
238,uid238,238,train
239,uid239,239,train
240,uid240,240,train
241,uid241,241,test
242,uid242,242,train
243,uid243,243,train
244,uid244,244,train
245,uid245,245,test
246,uid246,246,train
247,uid247,247,train
248,uid248,248,train
249,uid249,249,train
250,uid250,250,train
251,uid251,251,test
252,uid252,252,train
253,uid253,253,train
254,uid254,254,train
255,uid255,255,train
256,uid256,256,test
257,uid257,257,train
258,uid258,258,train
259,uid259,259,train
260,uid260,260,train
261,uid261,261,train
262,uid262,262,train
263,uid263,263,train
264,uid264,264,train
265,uid265,265,test
266,uid266,266,train
267,uid267,267,train
268,uid268,268,test
269,uid269,269,test
270,uid270,270,train
271,uid271,271,test
272,uid272,272,train
273,uid273,273,train
274,uid274,274,train
275,uid275,275,train
276,uid276,276,train
277,uid277,277,train
278,uid278,278,train
279,uid279,279,test
280,uid280,280,train
281,uid281,281,train
282,uid282,282,train
283,uid283,283,train
284,uid284,284,train
285,uid285,285,test
286,uid286,286,train
287,uid287,287,test
288,uid288,288,train
289,uid289,289,train
290,uid290,290,train
291,uid291,291,test
292,uid292,292,train
293,uid293,293,train
294,uid294,294,train
295,uid295,295,train
296,uid296,296,train
297,uid297,297,train
298,uid298,298,train
299,uid299,299,train
300,uid300,300,train
301,uid301,301,train
302,uid302,302,train
303,uid303,303,train
304,uid304,304,train
305,uid305,305,train
306,uid306,306,train
307,uid307,307,train
308,uid308,308,test
309,uid309,309,test
310,uid310,310,train
311,uid311,311,test
312,uid312,312,train
313,uid313,313,train
314,uid314,314,train
315,uid315,315,train
316,uid316,316,test
317,uid317,317,train
318,uid318,318,train
319,uid319,319,train
320,uid320,320,train
321,uid321,321,test
322,uid322,322,test
323,uid323,323,train
324,uid324,324,test
325,uid325,325,train
326,uid326,326,test
327,uid327,327,test
328,uid328,328,train
329,uid329,329,train
330,uid330,330,train
331,uid331,331,train
332,uid332,332,train
333,uid333,333,test
334,uid334,334,test
335,uid335,335,train
336,uid336,336,train
337,uid337,337,train
338,uid338,338,test
339,uid339,339,test
340,uid340,340,train
341,uid341,341,train
342,uid342,342,train
343,uid343,343,test
344,uid344,344,train
345,uid345,345,test
346,uid346,346,train
347,uid347,347,train
348,uid348,348,train
349,uid349,349,train
350,uid350,350,train
351,uid351,351,train
352,uid352,352,train
353,uid353,353,test
354,uid354,354,train
355,uid355,355,train
356,uid356,356,train
357,uid357,357,test
358,uid358,358,test
359,uid359,359,train
360,uid360,360,train
361,uid361,361,train
362,uid362,362,test
363,uid363,363,test
364,uid364,364,train
365,uid365,365,train
366,uid366,366,train
367,uid367,367,train
368,uid368,368,train
369,uid369,369,train
370,uid370,370,train
371,uid371,371,train
372,uid372,372,train
373,uid373,373,train
374,uid374,374,test
375,uid375,375,train
376,uid376,376,train
377,uid377,377,test
378,uid378,378,train
379,uid379,379,train
380,uid380,380,train
381,uid381,381,train
382,uid382,382,train
383,uid383,383,train
384,uid384,384,train
385,uid385,385,train
386,uid386,386,test
387,uid387,387,train
388,uid388,388,train
389,uid389,389,train
390,uid390,390,train
391,uid391,391,train
392,uid392,392,train
