concept_index,entity_id,raw_concept_id,name,definition_source
0,kc0,0,乘法原理里的其他类型,llm:deepseek-chat
1,kc1,1,加乘原理综合,llm:deepseek-chat
2,kc2,2,物品搭配,llm:deepseek-chat
3,kc3,3,染色计数问题,llm:deepseek-chat
4,kc4,4,物体数量组合,llm:deepseek-chat
5,kc5,5,路线搭配问题,llm:deepseek-chat
6,kc6,6,几何思想平移,llm:deepseek-chat
7,kc7,7,陷阱型不规则图形求周长,llm:deepseek-chat
8,kc8,8,楼梯型不规则图形求周长,llm:deepseek-chat
9,kc9,9,长方形周长,llm:deepseek-chat
10,kc10,10,长方形组合图形周长,llm:deepseek-chat
11,kc11,11,公式法长方形正方形周长,llm:deepseek-chat
12,kc12,12,几何方法整体减空白,llm:deepseek-chat
13,kc13,13,几何方法差不变,llm:deepseek-chat
14,kc14,14,图形认知,llm:deepseek-chat
15,kc15,15,图形剪拼,llm:deepseek-chat
16,kc16,16,分割图形（不需等分）,llm:deepseek-chat
17,kc17,17,正方形组合图形周长,llm:deepseek-chat
18,kc18,18,长方形和正方形面积公式,llm:deepseek-chat
19,kc19,19,连线法,llm:deepseek-chat
20,kc20,20,找矛盾,llm:deepseek-chat
21,kc21,21,排除矛盾法,llm:deepseek-chat
22,kc22,22,半真半假,llm:deepseek-chat
23,kc23,23,整数倍数关系,llm:deepseek-chat
24,kc24,24,整数乘法巧算之提取公因数（普通型）,llm:deepseek-chat
25,kc25,25,直接运用分配律,llm:deepseek-chat
26,kc26,26,整数提取公因数,llm:deepseek-chat
27,kc27,27,神推理,llm:deepseek-chat
28,kc28,28,长方形正方形组合图形周长,llm:deepseek-chat
29,kc29,29,表格法,llm:deepseek-chat
30,kc30,30,除法竖式,llm:deepseek-chat
31,kc31,31,表外除法计算,llm:deepseek-chat
32,kc32,32,等差数列求通项,llm:deepseek-chat
33,kc33,33,等差数列求和,llm:deepseek-chat
34,kc34,34,整数好朋友数,llm:deepseek-chat
35,kc35,35,中项定理应用,llm:deepseek-chat
36,kc36,36,乘除法抵消,llm:deepseek-chat
37,kc37,37,等差数列求公差,llm:deepseek-chat
38,kc38,38,整数除法巧算之提取公除数（普通型）,llm:deepseek-chat
39,kc39,39,扫雷游戏,llm:deepseek-chat
40,kc40,40,长方形计数,llm:deepseek-chat
41,kc41,41,正方形,llm:deepseek-chat
42,kc42,42,封闭植树类型问题(段数大于10),llm:deepseek-chat
43,kc43,43,认识线段,llm:deepseek-chat
44,kc44,44,线段计数,llm:deepseek-chat
45,kc45,45,间隔问题,llm:deepseek-chat
46,kc46,46,两端植树类型问题(段数大于10),llm:deepseek-chat
47,kc47,47,一端种树问题,llm:deepseek-chat
48,kc48,48,敲钟问题,llm:deepseek-chat
49,kc49,49,两端植树问题,llm:deepseek-chat
50,kc50,50,乘法应用（顺口溜）,llm:deepseek-chat
51,kc51,51,两端都不植树类型问题(段数小于等于10),llm:deepseek-chat
52,kc52,52,两端都不种树问题,llm:deepseek-chat
53,kc53,53,两端种树问题,llm:deepseek-chat
54,kc54,54,爬楼梯问题,llm:deepseek-chat
55,kc55,55,基本排列的周期问题,llm:deepseek-chat
56,kc56,56,单一变量还原问题,llm:deepseek-chat
57,kc57,57,日期中的周期,llm:deepseek-chat
58,kc58,58,逆运算,llm:deepseek-chat
59,kc59,59,多量还原问题,llm:deepseek-chat
60,kc60,60,还原问题,llm:deepseek-chat
61,kc61,61,两量还原问题,llm:deepseek-chat
62,kc62,62,单归一问题,llm:deepseek-chat
63,kc63,63,分一半,llm:deepseek-chat
64,kc64,64,单人简单行程问题,llm:deepseek-chat
65,kc65,65,双归一问题,llm:deepseek-chat
66,kc66,66,长方形周长公式,llm:deepseek-chat
67,kc67,67,三角形,llm:deepseek-chat
68,kc68,68,逻辑绘图,llm:deepseek-chat
69,kc69,69,数的周期,llm:deepseek-chat
70,kc70,70,直接运用公式求单价,llm:deepseek-chat
71,kc71,71,复式条形统计图,llm:deepseek-chat
72,kc72,72,数据的简单分析,llm:deepseek-chat
73,kc73,73,运算求解,llm:deepseek-chat
74,kc74,74,单一对象条形图,llm:deepseek-chat
75,kc75,75,多个对象条形图,llm:deepseek-chat
76,kc76,76,条形统计图,llm:deepseek-chat
77,kc77,77,简单统计表,llm:deepseek-chat
78,kc78,78,二量容斥,llm:deepseek-chat
79,kc79,79,灵活分组,llm:deepseek-chat
80,kc80,80,用分组法解决基础鸡兔同笼,llm:deepseek-chat
81,kc81,81,原型题,llm:deepseek-chat
82,kc82,82,三量容斥,llm:deepseek-chat
83,kc83,83,数码综合问题,llm:deepseek-chat
84,kc84,84,容斥原理,llm:deepseek-chat
85,kc85,85,页码问题,llm:deepseek-chat
86,kc86,86,页码数量,llm:deepseek-chat
87,kc87,87,平行四边形的概念,llm:deepseek-chat
88,kc88,88,平行四边形的面积公式,llm:deepseek-chat
89,kc89,89,利用面积求周长,llm:deepseek-chat
90,kc90,90,认识直角梯形,llm:deepseek-chat
91,kc91,91,两条对角线垂直的四边形的面积求法,llm:deepseek-chat
92,kc92,92,梯形的面积公式,llm:deepseek-chat
93,kc93,93,公式法求梯形面积,llm:deepseek-chat
94,kc94,94,叠加覆盖,llm:deepseek-chat
95,kc95,95,正求反求面积,llm:deepseek-chat
96,kc96,96,用公式直接求速度,llm:deepseek-chat
97,kc97,97,平行四边形边角特点,llm:deepseek-chat
98,kc98,98,梯形面积公式,llm:deepseek-chat
99,kc99,99,同时出发,llm:deepseek-chat
100,kc100,100,双人简单行程问题,llm:deepseek-chat
101,kc101,101,不同时出发相向而行,llm:deepseek-chat
102,kc102,102,实践应用,llm:deepseek-chat
103,kc103,103,逻辑分析,llm:deepseek-chat
104,kc104,104,同时出发相向而行,llm:deepseek-chat
105,kc105,105,用公式直接求路程,llm:deepseek-chat
106,kc106,106,奇数与偶数的加减规律,llm:deepseek-chat
107,kc107,107,不同时出发,llm:deepseek-chat
108,kc108,108,奇数与偶数的应用,llm:deepseek-chat
109,kc109,109,奇数与偶数的混合计算,llm:deepseek-chat
110,kc110,110,和与积的奇偶性,llm:deepseek-chat
111,kc111,111,利用奇偶规律构造数,llm:deepseek-chat
112,kc112,112,乘法竖式谜,llm:deepseek-chat
113,kc113,113,尾数系整除特征,llm:deepseek-chat
114,kc114,114,整除初识,llm:deepseek-chat
115,kc115,115,3的倍数特征,llm:deepseek-chat
116,kc116,116,和系整除特征应用,llm:deepseek-chat
117,kc117,117,奇数与偶数的认识,llm:deepseek-chat
118,kc118,118,除法竖式谜,llm:deepseek-chat
119,kc119,119,表外乘法计算,llm:deepseek-chat
120,kc120,120,加法横式,llm:deepseek-chat
121,kc121,121,特殊乘积,llm:deepseek-chat
122,kc122,122,整数加减巧算之位值原理,llm:deepseek-chat
123,kc123,123,连续自然数长方形数表之已知位置求数,llm:deepseek-chat
124,kc124,124,连续自然数长方形数表之已知数求位置,llm:deepseek-chat
125,kc125,125,数列与数表,llm:deepseek-chat
126,kc126,126,烙饼问题,llm:deepseek-chat
127,kc127,127,时间总和问题,llm:deepseek-chat
128,kc128,128,调运中的统筹,llm:deepseek-chat
129,kc129,129,路程=速度×时间,llm:deepseek-chat
130,kc130,130,追及与相遇结合,llm:deepseek-chat
131,kc131,131,整数简易方程,llm:deepseek-chat
132,kc132,132,年龄问题之差倍型,llm:deepseek-chat
133,kc133,133,代数式,llm:deepseek-chat
134,kc134,134,一元一次方程解应用题,llm:deepseek-chat
135,kc135,135,整数系数方程,llm:deepseek-chat
136,kc136,136,相遇问题求路程和,llm:deepseek-chat
137,kc137,137,列方程解应用题,llm:deepseek-chat
138,kc138,138,最短路线,llm:deepseek-chat
139,kc139,139,正方形周长,llm:deepseek-chat
140,kc140,140,巧求周长,llm:deepseek-chat
141,kc141,141,不规则多边形的周长,llm:deepseek-chat
142,kc142,142,数字组数（不可重复）,llm:deepseek-chat
143,kc143,143,用枚举法找出最值,llm:deepseek-chat
144,kc144,144,卡片组数,llm:deepseek-chat
145,kc145,145,图文加法竖式数字谜,llm:deepseek-chat
146,kc146,146,乘法竖式,llm:deepseek-chat
147,kc147,147,先归一再归总,llm:deepseek-chat
148,kc148,148,直接求平均数,llm:deepseek-chat
149,kc149,149,综合题普通型,llm:deepseek-chat
150,kc150,150,加权平均数,llm:deepseek-chat
151,kc151,151,平均数问题,llm:deepseek-chat
152,kc152,152,分数加减,llm:deepseek-chat
153,kc153,153,分数的性质,llm:deepseek-chat
154,kc154,154,分数的意义,llm:deepseek-chat
155,kc155,155,树形图,llm:deepseek-chat
156,kc156,156,图文周期,llm:deepseek-chat
157,kc157,157,环形操作周期问题,llm:deepseek-chat
158,kc158,158,圆周中的周期,llm:deepseek-chat
159,kc159,159,数列找规律填数,llm:deepseek-chat
160,kc160,160,奇数与偶数的乘法规律,llm:deepseek-chat
161,kc161,161,整数乘法巧算之分配律,llm:deepseek-chat
162,kc162,162,整数除法巧算之类分配律,llm:deepseek-chat
163,kc163,163,商不变性质,llm:deepseek-chat
164,kc164,164,整数乘除法巧算,llm:deepseek-chat
165,kc165,165,公式法求长方形正方形面积,llm:deepseek-chat
166,kc166,166,两量和倍,llm:deepseek-chat
167,kc167,167,两量倍,llm:deepseek-chat
168,kc168,168,多量和倍,llm:deepseek-chat
169,kc169,169,除法的实际应用,llm:deepseek-chat
170,kc170,170,已知两量之间倍数关系和两量之和，求两个量,llm:deepseek-chat
171,kc171,171,已知两量之间倍数关系和一份量，求多份量,llm:deepseek-chat
172,kc172,172,非整数倍差倍剩余,llm:deepseek-chat
173,kc173,173,非整数倍差倍不足,llm:deepseek-chat
174,kc174,174,多量差倍,llm:deepseek-chat
175,kc175,175,和差倍问题,llm:deepseek-chat
176,kc176,176,变化的比多少应用题,llm:deepseek-chat
177,kc177,177,已知两量之间倍数关系和两量之差，求两个量,llm:deepseek-chat
178,kc178,178,减法的实际应用,llm:deepseek-chat
179,kc179,179,整数差倍,llm:deepseek-chat
180,kc180,180,暗差型二量差倍问题,llm:deepseek-chat
181,kc181,181,区分大月和小月,llm:deepseek-chat
182,kc182,182,计算星期几,llm:deepseek-chat
183,kc183,183,奇数阶幻方填法,llm:deepseek-chat
184,kc184,184,长方形数表中日期周期,llm:deepseek-chat
185,kc185,185,变形幻方,llm:deepseek-chat
186,kc186,186,从统计图表中获取信息,llm:deepseek-chat
187,kc187,187,一笔画判断,llm:deepseek-chat
188,kc188,188,一笔画的应用,llm:deepseek-chat
189,kc189,189,不等变相等（无图）,llm:deepseek-chat
190,kc190,190,标准六宫,llm:deepseek-chat
191,kc191,191,认识直角、锐角和钝角,llm:deepseek-chat
192,kc192,192,角的认知,llm:deepseek-chat
193,kc193,193,多位小数的写法,llm:deepseek-chat
194,kc194,194,多位小数比较大小,llm:deepseek-chat
195,kc195,195,小数加减竖式计算,llm:deepseek-chat
196,kc196,196,小数比大小,llm:deepseek-chat
197,kc197,197,小数的计数单位（十分位、百分位、千分位）,llm:deepseek-chat
198,kc198,198,角度的计算,llm:deepseek-chat
199,kc199,199,利用特殊角的求角度,llm:deepseek-chat
200,kc200,200,年龄问题基本关系和差问题,llm:deepseek-chat
201,kc201,201,分类枚举法数图形,llm:deepseek-chat
202,kc202,202,年龄和,llm:deepseek-chat
203,kc203,203,年龄问题之和倍型,llm:deepseek-chat
204,kc204,204,四则混合运算,llm:deepseek-chat
205,kc205,205,添去括号,llm:deepseek-chat
206,kc206,206,必填符号型,llm:deepseek-chat
207,kc207,207,24点游戏,llm:deepseek-chat
208,kc208,208,盈亏基本类型盈亏问题,llm:deepseek-chat
209,kc209,209,特殊点或区域,llm:deepseek-chat
210,kc210,210,盈亏问题,llm:deepseek-chat
211,kc211,211,恰好分完,llm:deepseek-chat
212,kc212,212,亏亏问题,llm:deepseek-chat
