exercise_index,entity_id,original_question_id
0,ex0,0
1,ex1,1
2,ex2,2
3,ex3,3
4,ex4,5
5,ex5,6
6,ex6,7
7,ex7,12
8,ex8,14
9,ex9,16
10,ex10,17
11,ex11,22
12,ex12,24
13,ex13,27
14,ex14,28
15,ex15,34
16,ex16,35
17,ex17,47
18,ex18,51
19,ex19,56
20,ex20,57
21,ex21,59
22,ex22,60
23,ex23,61
24,ex24,63
25,ex25,64
26,ex26,65
27,ex27,66
28,ex28,69
29,ex29,79
30,ex30,80
31,ex31,81
32,ex32,82
33,ex33,84
34,ex34,90
35,ex35,92
36,ex36,94
37,ex37,95
38,ex38,96
39,ex39,97
40,ex40,101
41,ex41,102
42,ex42,103
43,ex43,104
44,ex44,105
45,ex45,107
46,ex46,108
47,ex47,109
48,ex48,110
49,ex49,112
50,ex50,115
51,ex51,116
52,ex52,118
53,ex53,119
54,ex54,121
55,ex55,124
56,ex56,125
57,ex57,126
58,ex58,128
59,ex59,130
60,ex60,136
61,ex61,138
62,ex62,142
63,ex63,145
64,ex64,152
65,ex65,153
66,ex66,154
67,ex67,155
68,ex68,156
69,ex69,159
70,ex70,160
71,ex71,162
72,ex72,163
73,ex73,164
74,ex74,166
75,ex75,167
76,ex76,174
77,ex77,176
78,ex78,177
79,ex79,181
80,ex80,182
81,ex81,184
82,ex82,188
83,ex83,191
84,ex84,192
85,ex85,193
86,ex86,195
87,ex87,197
88,ex88,199
89,ex89,201
90,ex90,205
91,ex91,209
92,ex92,216
93,ex93,222
94,ex94,223
95,ex95,224
96,ex96,225
97,ex97,226
98,ex98,230
99,ex99,231
100,ex100,232
101,ex101,236
102,ex102,237
103,ex103,238
104,ex104,242
105,ex105,243
106,ex106,244
107,ex107,248
108,ex108,250
109,ex109,255
110,ex110,256
111,ex111,257
112,ex112,258
113,ex113,260
114,ex114,263
115,ex115,264
116,ex116,266
117,ex117,267
118,ex118,268
119,ex119,269
120,ex120,270
121,ex121,271
122,ex122,272
123,ex123,273
124,ex124,274
125,ex125,275
126,ex126,276
127,ex127,277
128,ex128,278
129,ex129,279
130,ex130,282
131,ex131,283
132,ex132,284
133,ex133,285
134,ex134,286
135,ex135,287
136,ex136,289
137,ex137,290
138,ex138,291
139,ex139,292
140,ex140,293
141,ex141,294
142,ex142,295
143,ex143,296
144,ex144,297
145,ex145,298
146,ex146,299
147,ex147,300
148,ex148,301
149,ex149,302
150,ex150,303
151,ex151,304
152,ex152,305
153,ex153,306
154,ex154,307
155,ex155,308
156,ex156,309
157,ex157,310
158,ex158,311
159,ex159,312
160,ex160,313
161,ex161,314
162,ex162,315
163,ex163,316
164,ex164,317
165,ex165,318
166,ex166,319
167,ex167,320
168,ex168,321
169,ex169,322
170,ex170,323
171,ex171,324
172,ex172,325
173,ex173,326
174,ex174,327
175,ex175,328
176,ex176,329
177,ex177,330
178,ex178,331
179,ex179,332
180,ex180,333
181,ex181,334
182,ex182,335
183,ex183,336
184,ex184,337
185,ex185,343
186,ex186,344
187,ex187,345
188,ex188,346
189,ex189,347
190,ex190,348
191,ex191,349
192,ex192,350
193,ex193,351
194,ex194,352
195,ex195,353
196,ex196,354
197,ex197,355
198,ex198,356
199,ex199,357
200,ex200,358
201,ex201,359
202,ex202,360
203,ex203,361
204,ex204,362
205,ex205,363
206,ex206,364
207,ex207,365
208,ex208,366
209,ex209,367
210,ex210,368
211,ex211,369
212,ex212,370
213,ex213,371
214,ex214,372
215,ex215,373
216,ex216,374
217,ex217,375
218,ex218,376
219,ex219,377
220,ex220,378
221,ex221,379
222,ex222,380
223,ex223,381
224,ex224,382
225,ex225,383
226,ex226,384
227,ex227,385
228,ex228,386
229,ex229,387
230,ex230,390
231,ex231,391
232,ex232,392
233,ex233,393
234,ex234,394
235,ex235,395
236,ex236,396
237,ex237,397
238,ex238,398
239,ex239,399
240,ex240,400
241,ex241,403
242,ex242,404
243,ex243,405
244,ex244,406
245,ex245,407
246,ex246,408
247,ex247,409
248,ex248,410
249,ex249,411
250,ex250,412
251,ex251,413
252,ex252,414
253,ex253,415
254,ex254,416
255,ex255,417
256,ex256,418
257,ex257,419
258,ex258,420
259,ex259,421
260,ex260,422
261,ex261,423
262,ex262,424
263,ex263,426
264,ex264,429
265,ex265,431
266,ex266,433
267,ex267,435
268,ex268,436
269,ex269,437
270,ex270,438
271,ex271,439
272,ex272,440
273,ex273,441
274,ex274,442
275,ex275,443
276,ex276,444
277,ex277,445
278,ex278,446
279,ex279,447
280,ex280,448
281,ex281,449
282,ex282,450
283,ex283,451
284,ex284,452
285,ex285,453
286,ex286,454
287,ex287,455
288,ex288,456
289,ex289,457
290,ex290,458
291,ex291,459
292,ex292,460
293,ex293,461
294,ex294,462
295,ex295,463
296,ex296,464
297,ex297,465
298,ex298,466
299,ex299,467
300,ex300,468
301,ex301,469
302,ex302,470
303,ex303,471
304,ex304,472
305,ex305,473
306,ex306,474
307,ex307,475
308,ex308,476
309,ex309,477
310,ex310,478
311,ex311,479
312,ex312,480
313,ex313,481
314,ex314,482
315,ex315,483
316,ex316,484
317,ex317,491
318,ex318,492
319,ex319,493
320,ex320,494
321,ex321,495
322,ex322,496
323,ex323,497
324,ex324,498
325,ex325,499
326,ex326,500
327,ex327,501
328,ex328,502
329,ex329,503
330,ex330,504
331,ex331,505
332,ex332,506
333,ex333,507
334,ex334,508
335,ex335,509
336,ex336,510
337,ex337,511
338,ex338,512
339,ex339,513
340,ex340,514
341,ex341,515
342,ex342,516
343,ex343,517
344,ex344,518
345,ex345,519
346,ex346,520
347,ex347,521
348,ex348,522
349,ex349,523
350,ex350,524
351,ex351,525
352,ex352,526
353,ex353,527
354,ex354,528
355,ex355,529
356,ex356,530
357,ex357,531
358,ex358,532
359,ex359,533
360,ex360,534
361,ex361,535
362,ex362,536
363,ex363,537
364,ex364,538
365,ex365,539
366,ex366,540
367,ex367,541
368,ex368,542
369,ex369,543
370,ex370,544
371,ex371,545
372,ex372,546
373,ex373,547
374,ex374,548
375,ex375,549
376,ex376,550
377,ex377,551
378,ex378,552
379,ex379,553
380,ex380,554
381,ex381,555
382,ex382,556
383,ex383,557
384,ex384,558
385,ex385,559
386,ex386,560
387,ex387,561
388,ex388,562
389,ex389,563
390,ex390,564
391,ex391,565
392,ex392,566
393,ex393,567
394,ex394,568
395,ex395,569
396,ex396,570
397,ex397,571
398,ex398,572
399,ex399,573
400,ex400,574
401,ex401,575
402,ex402,576
403,ex403,577
404,ex404,578
405,ex405,579
406,ex406,580
407,ex407,581
408,ex408,582
409,ex409,583
410,ex410,584
411,ex411,585
412,ex412,586
413,ex413,587
414,ex414,588
415,ex415,589
416,ex416,590
417,ex417,591
418,ex418,592
419,ex419,593
420,ex420,594
421,ex421,595
422,ex422,596
423,ex423,597
424,ex424,598
425,ex425,599
426,ex426,600
427,ex427,601
428,ex428,602
429,ex429,603
430,ex430,604
431,ex431,605
432,ex432,606
433,ex433,607
434,ex434,608
435,ex435,609
436,ex436,610
437,ex437,611
438,ex438,612
439,ex439,613
440,ex440,614
441,ex441,616
442,ex442,617
443,ex443,618
444,ex444,619
445,ex445,620
446,ex446,621
447,ex447,622
448,ex448,623
449,ex449,624
450,ex450,625
451,ex451,626
452,ex452,627
453,ex453,628
454,ex454,629
455,ex455,630
456,ex456,631
457,ex457,632
458,ex458,633
459,ex459,634
460,ex460,635
461,ex461,636
462,ex462,637
463,ex463,638
464,ex464,639
465,ex465,640
466,ex466,641
467,ex467,642
468,ex468,643
469,ex469,644
470,ex470,645
471,ex471,646
472,ex472,647
473,ex473,648
474,ex474,649
475,ex475,650
476,ex476,651
477,ex477,652
478,ex478,653
479,ex479,654
480,ex480,655
481,ex481,656
482,ex482,657
483,ex483,658
484,ex484,660
485,ex485,661
486,ex486,662
487,ex487,666
488,ex488,670
489,ex489,671
490,ex490,673
491,ex491,677
492,ex492,678
493,ex493,679
494,ex494,680
495,ex495,681
496,ex496,682
497,ex497,683
498,ex498,684
499,ex499,685
500,ex500,686
501,ex501,687
502,ex502,688
503,ex503,689
504,ex504,690
505,ex505,691
506,ex506,692
507,ex507,693
508,ex508,694
509,ex509,695
510,ex510,697
511,ex511,699
512,ex512,700
513,ex513,701
514,ex514,702
515,ex515,704
516,ex516,705
517,ex517,712
518,ex518,713
519,ex519,714
520,ex520,715
521,ex521,716
522,ex522,717
523,ex523,718
524,ex524,719
525,ex525,720
526,ex526,732
527,ex527,733
528,ex528,734
529,ex529,735
530,ex530,736
531,ex531,737
532,ex532,738
533,ex533,739
534,ex534,740
535,ex535,741
536,ex536,742
537,ex537,743
538,ex538,751
539,ex539,752
540,ex540,753
541,ex541,754
542,ex542,755
543,ex543,756
544,ex544,757
545,ex545,758
546,ex546,759
547,ex547,760
548,ex548,761
549,ex549,762
550,ex550,763
551,ex551,764
552,ex552,765
553,ex553,767
554,ex554,768
555,ex555,769
556,ex556,770
557,ex557,771
558,ex558,772
559,ex559,773
560,ex560,774
561,ex561,775
562,ex562,779
563,ex563,780
564,ex564,781
565,ex565,782
566,ex566,783
567,ex567,784
568,ex568,785
569,ex569,788
570,ex570,790
571,ex571,791
572,ex572,792
573,ex573,794
574,ex574,795
575,ex575,796
576,ex576,797
577,ex577,798
578,ex578,809
579,ex579,811
580,ex580,812
581,ex581,819
582,ex582,826
583,ex583,828
584,ex584,830
585,ex585,836
586,ex586,841
587,ex587,842
588,ex588,847
589,ex589,853
590,ex590,854
591,ex591,855
592,ex592,858
593,ex593,859
594,ex594,861
595,ex595,862
596,ex596,863
597,ex597,864
598,ex598,865
599,ex599,866
600,ex600,867
601,ex601,868
602,ex602,870
603,ex603,873
604,ex604,874
605,ex605,875
606,ex606,876
607,ex607,877
608,ex608,878
609,ex609,880
610,ex610,883
611,ex611,902
612,ex612,903
613,ex613,914
614,ex614,917
615,ex615,918
616,ex616,921
617,ex617,927
618,ex618,928
619,ex619,942
620,ex620,943
621,ex621,948
622,ex622,954
623,ex623,963
624,ex624,964
625,ex625,968
626,ex626,971
627,ex627,977
628,ex628,980
629,ex629,981
630,ex630,982
631,ex631,983
632,ex632,987
633,ex633,988
634,ex634,989
635,ex635,997
636,ex636,998
637,ex637,999
638,ex638,1000
639,ex639,1001
640,ex640,1003
641,ex641,1005
642,ex642,1008
643,ex643,1009
644,ex644,1010
645,ex645,1011
646,ex646,1016
647,ex647,1017
648,ex648,1018
649,ex649,1019
650,ex650,1020
651,ex651,1021
652,ex652,1022
653,ex653,1023
654,ex654,1029
655,ex655,1030
656,ex656,1032
657,ex657,1033
658,ex658,1034
659,ex659,1035
660,ex660,1036
661,ex661,1037
662,ex662,1038
663,ex663,1039
664,ex664,1040
665,ex665,1041
666,ex666,1042
667,ex667,1043
668,ex668,1044
669,ex669,1045
670,ex670,1046
671,ex671,1047
672,ex672,1048
673,ex673,1049
674,ex674,1050
675,ex675,1051
676,ex676,1052
677,ex677,1053
678,ex678,1062
679,ex679,1063
680,ex680,1064
681,ex681,1065
682,ex682,1066
683,ex683,1070
684,ex684,1071
685,ex685,1072
686,ex686,1073
687,ex687,1074
688,ex688,1075
689,ex689,1076
690,ex690,1077
691,ex691,1078
692,ex692,1079
693,ex693,1083
694,ex694,1094
695,ex695,1095
696,ex696,1096
697,ex697,1099
698,ex698,1100
699,ex699,1101
700,ex700,1102
701,ex701,1104
702,ex702,1105
703,ex703,1106
704,ex704,1107
705,ex705,1108
706,ex706,1109
707,ex707,1110
708,ex708,1111
709,ex709,1112
710,ex710,1113
711,ex711,1114
712,ex712,1115
713,ex713,1116
714,ex714,1118
715,ex715,1120
716,ex716,1121
717,ex717,1122
718,ex718,1123
719,ex719,1124
720,ex720,1125
721,ex721,1129
722,ex722,1130
723,ex723,1131
724,ex724,1133
725,ex725,1134
726,ex726,1135
727,ex727,1136
