concept_index,entity_id,raw_concept_id,name,definition_source
0,kc0,Changing axis bounds,Changing axis bounds,llm:deepseek-chat
1,kc1,Changing axis intervals,Changing axis intervals,llm:deepseek-chat
2,kc2,Choose Graphical Refl-v,Choose Graphical Refl-v,llm:deepseek-chat
3,kc3,Choose Graphical a,Choose Graphical a,llm:deepseek-chat
4,kc4,Choose Graphical h,Choose Graphical h,llm:deepseek-chat
5,kc5,Choose Graphical k,Choose Graphical k,llm:deepseek-chat
6,kc6,"Convert unit, mixed","Convert unit, mixed",llm:deepseek-chat
7,kc7,"Convert unit, multiplier","Convert unit, multiplier",llm:deepseek-chat
8,kc8,"Convert unit, standard","Convert unit, standard",llm:deepseek-chat
9,kc9,Correctly placing points,Correctly placing points,llm:deepseek-chat
10,kc10,Define Variable,Define Variable,llm:deepseek-chat
11,kc11,Edit Algebraic a,Edit Algebraic a,llm:deepseek-chat
12,kc12,Edit Algebraic h,Edit Algebraic h,llm:deepseek-chat
13,kc13,Edit Algebraic k,Edit Algebraic k,llm:deepseek-chat
14,kc14,Edit Algebraic refl-v,Edit Algebraic refl-v,llm:deepseek-chat
15,kc15,Entering a computed linear value,Entering a computed linear value,llm:deepseek-chat
16,kc16,Entering a computed quadratic value,Entering a computed quadratic value,llm:deepseek-chat
17,kc17,Entering a given,Entering a given,llm:deepseek-chat
18,kc18,Entering a given linear value,Entering a given linear value,llm:deepseek-chat
19,kc19,Entering a given quadratic value,Entering a given quadratic value,llm:deepseek-chat
20,kc20,Entering a point,Entering a point,llm:deepseek-chat
21,kc21,"Entering slope, GLF","Entering slope, GLF",llm:deepseek-chat
22,kc22,"Entering slope, SIF","Entering slope, SIF",llm:deepseek-chat
23,kc23,Entering the slope,Entering the slope,llm:deepseek-chat
24,kc24,Entering the y-intercept,Entering the y-intercept,llm:deepseek-chat
25,kc25,"Entering x-intercept, GLF","Entering x-intercept, GLF",llm:deepseek-chat
26,kc26,"Entering x-intercept, SIF","Entering x-intercept, SIF",llm:deepseek-chat
27,kc27,"Entering y-intercept, GLF","Entering y-intercept, GLF",llm:deepseek-chat
