concept_index,entity_id,raw_concept_id,name,definition_source
0,kc0,0,Box and Whisker,llm:deepseek-chat
1,kc1,1,1,llm:deepseek-chat
2,kc2,2,2,llm:deepseek-chat
3,kc3,3,3,llm:deepseek-chat
4,kc4,4,Table,llm:deepseek-chat
5,kc5,5,Table,llm:deepseek-chat
6,kc6,6,Table,llm:deepseek-chat
7,kc7,7,Table,llm:deepseek-chat
8,kc8,8,Table,llm:deepseek-chat
9,kc9,9,Table,llm:deepseek-chat
10,kc10,10,Table,llm:deepseek-chat
11,kc11,11,Table,llm:deepseek-chat
12,kc12,12,Venn Diagram,llm:deepseek-chat
13,kc13,13,D.4.8-understanding-concept-of-probabilities,llm:deepseek-chat
14,kc14,14,Venn Diagram,llm:deepseek-chat
15,kc15,15,Mean,llm:deepseek-chat
16,kc16,16,Median,llm:deepseek-chat
17,kc17,17,Range,llm:deepseek-chat
18,kc18,18,Counting Methods,llm:deepseek-chat
19,kc19,19,Absolute Value,llm:deepseek-chat
20,kc20,20,Algebraic Simplification,llm:deepseek-chat
21,kc21,21,Algebraic Solving,llm:deepseek-chat
22,kc22,22,Counting Methods,llm:deepseek-chat
23,kc23,23,Probability of Two Distinct Events,llm:deepseek-chat
24,kc24,24,Choose an Equation from Given Information,llm:deepseek-chat
25,kc25,25,Probability of a Single Event,llm:deepseek-chat
26,kc26,26,Box and Whisker,llm:deepseek-chat
27,kc27,27,Box and Whisker,llm:deepseek-chat
28,kc28,28,Percent Discount,llm:deepseek-chat
29,kc29,29,Percents,llm:deepseek-chat
30,kc30,30,Interior Angles Figures with More than 3 Sides,llm:deepseek-chat
31,kc31,31,Rate,llm:deepseek-chat
32,kc32,32,Interior Angles Figures with More than 3 Sides,llm:deepseek-chat
33,kc33,33,Interior Angles Triangle,llm:deepseek-chat
34,kc34,34,Congruence,llm:deepseek-chat
35,kc35,35,35,llm:deepseek-chat
36,kc36,36,Complementary and Supplementary Angles,llm:deepseek-chat
37,kc37,37,Angles on Parallel Lines Cut by a Transversal,llm:deepseek-chat
38,kc38,38,Pythagorean Theorem,llm:deepseek-chat
39,kc39,39,Multiplication and Division Positive Decimals,llm:deepseek-chat
40,kc40,40,Addition and Subtraction Integers,llm:deepseek-chat
41,kc41,41,Addition and Subtraction Positive Decimals,llm:deepseek-chat
42,kc42,42,Multiplication and Division Integers,llm:deepseek-chat
43,kc43,43,Pythagorean Theorem,llm:deepseek-chat
44,kc44,44,Addition and Subtraction Fractions,llm:deepseek-chat
45,kc45,45,Reflection,llm:deepseek-chat
46,kc46,46,Rotations,llm:deepseek-chat
47,kc47,47,Rotations,llm:deepseek-chat
48,kc48,48,Translations,llm:deepseek-chat
49,kc49,49,Area Irregular Figure,llm:deepseek-chat
50,kc50,50,Area Parallelogram,llm:deepseek-chat
51,kc51,51,Area Rectangle,llm:deepseek-chat
52,kc52,52,Area Trapezoid,llm:deepseek-chat
53,kc53,53,Area Triangle,llm:deepseek-chat
54,kc54,54,Surface Area Cylinder,llm:deepseek-chat
55,kc55,55,Circle Graph,llm:deepseek-chat
56,kc56,56,Circle Graph,llm:deepseek-chat
57,kc57,57,Circle Graph,llm:deepseek-chat
