exercise_index,entity_id,original_question_id
0,ex0,100821
1,ex1,101904
2,ex2,107667
3,ex3,107674
4,ex4,107681
5,ex5,107689
6,ex6,107696
7,ex7,107703
8,ex8,107710
9,ex9,107717
10,ex10,107724
11,ex11,107731
12,ex12,107738
13,ex13,107745
14,ex14,107753
15,ex15,107760
16,ex16,107767
17,ex17,107774
18,ex18,107781
19,ex19,107788
20,ex20,107795
21,ex21,107802
22,ex22,107809
23,ex23,107816
24,ex24,107823
25,ex25,107830
26,ex26,107837
27,ex27,107844
28,ex28,107851
29,ex29,107858
30,ex30,107865
31,ex31,107872
32,ex32,107955
33,ex33,107990
34,ex34,108097
35,ex35,108142
36,ex36,108157
37,ex37,108172
38,ex38,108197
39,ex39,108268
40,ex40,108897
41,ex41,108900
42,ex42,108903
43,ex43,108906
44,ex44,108909
45,ex45,108912
46,ex46,108915
47,ex47,108918
48,ex48,108921
49,ex49,108924
50,ex50,108927
51,ex51,108930
52,ex52,108933
53,ex53,108936
54,ex54,108939
55,ex55,108942
56,ex56,108945
57,ex57,108948
58,ex58,108951
59,ex59,108954
60,ex60,108957
61,ex61,108960
62,ex62,108963
63,ex63,108966
64,ex64,108969
65,ex65,108972
66,ex66,108975
67,ex67,108978
68,ex68,108981
69,ex69,108984
70,ex70,108987
71,ex71,108990
72,ex72,108993
73,ex73,108996
74,ex74,108999
75,ex75,109002
76,ex76,109005
77,ex77,109008
78,ex78,109011
79,ex79,109014
80,ex80,113480
81,ex81,113515
82,ex82,113654
83,ex83,114132
84,ex84,114174
85,ex85,119241
86,ex86,119242
87,ex87,119243
88,ex88,119244
89,ex89,119246
90,ex90,119247
91,ex91,119248
92,ex92,119250
93,ex93,119251
94,ex94,119252
95,ex95,119253
96,ex96,119254
97,ex97,119257
98,ex98,119263
99,ex99,119268
100,ex100,119273
101,ex101,119278
102,ex102,119283
103,ex103,119288
104,ex104,119293
105,ex105,119298
106,ex106,119303
107,ex107,119308
108,ex108,119309
109,ex109,119310
110,ex110,119311
111,ex111,119318
112,ex112,119322
113,ex113,119326
114,ex114,119334
115,ex115,119338
116,ex116,119342
117,ex117,119346
118,ex118,119350
119,ex119,119354
120,ex120,119359
121,ex121,119360
122,ex122,119361
123,ex123,119362
124,ex124,119363
125,ex125,119364
126,ex126,119365
127,ex127,119366
128,ex128,119367
129,ex129,119368
130,ex130,119369
131,ex131,119371
132,ex132,119372
133,ex133,119373
134,ex134,119374
135,ex135,119376
136,ex136,119377
137,ex137,119378
138,ex138,119379
139,ex139,119380
140,ex140,119381
141,ex141,119382
142,ex142,119383
143,ex143,119384
144,ex144,119385
145,ex145,119386
146,ex146,119387
147,ex147,120156
148,ex148,120160
149,ex149,120164
150,ex150,120168
151,ex151,120172
152,ex152,120176
153,ex153,120180
154,ex154,120184
155,ex155,120188
156,ex156,120192
157,ex157,120196
158,ex158,120200
159,ex159,120204
160,ex160,120208
161,ex161,120212
162,ex162,120216
163,ex163,120220
164,ex164,120224
165,ex165,120228
166,ex166,120232
167,ex167,122258
168,ex168,122318
169,ex169,128407
170,ex170,128408
171,ex171,128439
172,ex172,128446
173,ex173,128451
174,ex174,128454
175,ex175,12949
176,ex176,129603
177,ex177,129613
178,ex178,129649
179,ex179,12981
180,ex180,13152
181,ex181,13249
182,ex182,13297
183,ex183,134700
184,ex184,134722
185,ex185,134724
186,ex186,135647
187,ex187,135652
188,ex188,135659
189,ex189,139379
190,ex190,139381
191,ex191,139507
192,ex192,139547
193,ex193,139622
194,ex194,140056
195,ex195,140094
196,ex196,140101
197,ex197,14443
198,ex198,14449
199,ex199,14468
200,ex200,15142
201,ex201,161688
202,ex202,162133
203,ex203,162177
204,ex204,166381
205,ex205,166382
206,ex206,166383
207,ex207,170111
208,ex208,249
209,ex209,251
210,ex210,252
211,ex211,4013
212,ex212,4015
213,ex213,46800
214,ex214,46842
215,ex215,46851
216,ex216,46854
217,ex217,46875
218,ex218,47792
219,ex219,47856
220,ex220,47860
221,ex221,48062
222,ex222,48154
223,ex223,48166
224,ex224,48547
225,ex225,48559
226,ex226,48698
227,ex227,48873
228,ex228,49008
229,ex229,49016
230,ex230,49020
231,ex231,49024
232,ex232,49261
233,ex233,49262
234,ex234,49263
235,ex235,49264
236,ex236,49265
237,ex237,49266
238,ex238,49267
239,ex239,49268
240,ex240,49269
241,ex241,49270
242,ex242,49271
243,ex243,49272
244,ex244,49273
245,ex245,49274
246,ex246,49275
247,ex247,49276
248,ex248,49277
249,ex249,49278
250,ex250,49279
251,ex251,49280
252,ex252,49281
253,ex253,49282
254,ex254,49283
255,ex255,49284
256,ex256,49285
257,ex257,49286
258,ex258,49287
259,ex259,49288
260,ex260,49289
261,ex261,49290
262,ex262,49304
263,ex263,49310
264,ex264,49313
265,ex265,49688
266,ex266,49702
267,ex267,49704
268,ex268,50982
269,ex269,50983
270,ex270,50984
271,ex271,50985
272,ex272,50986
273,ex273,50987
274,ex274,50988
275,ex275,50989
276,ex276,50990
277,ex277,50991
278,ex278,50992
279,ex279,50993
280,ex280,50994
281,ex281,50995
282,ex282,50996
283,ex283,50997
284,ex284,50998
285,ex285,50999
286,ex286,51000
287,ex287,51001
288,ex288,51002
289,ex289,51003
290,ex290,51004
291,ex291,51005
292,ex292,51006
293,ex293,51007
294,ex294,51008
295,ex295,51009
296,ex296,51010
297,ex297,51011
298,ex298,51012
299,ex299,51024
300,ex300,51032
301,ex301,51044
302,ex302,51048
303,ex303,51068
304,ex304,51088
305,ex305,51100
306,ex306,51104
307,ex307,51108
308,ex308,51112
309,ex309,51116
310,ex310,51120
311,ex311,51153
312,ex312,51162
313,ex313,51168
314,ex314,51171
315,ex315,51336
316,ex316,51372
317,ex317,51388
318,ex318,51392
319,ex319,51400
320,ex320,51401
321,ex321,51402
322,ex322,51404
323,ex323,51405
324,ex324,51407
325,ex325,51408
326,ex326,51409
