uid,entity_id,original_uid,question,entity_exercise_id,original_question,concepts,response,timestamp,sequence_order,split
0,uid0,64535,368,ex368,53609,114,0,33650927,0,test
0,uid0,64535,401,ex401,53745,123,1,33651274,1,test
0,uid0,64535,394,ex394,53717,123,1,33651419,2,test
0,uid0,64535,383,ex383,53673,114,1,33651595,3,test
0,uid0,64535,395,ex395,53721,123,0,33652166,4,test
0,uid0,64535,361,ex361,53581,114,0,33652493,5,test
0,uid0,64535,373,ex373,53629,114,1,33653228,6,test
0,uid0,64535,376,ex376,53645,114,1,33653702,7,test
0,uid0,64535,396,ex396,53725,123,1,33653971,8,test
0,uid0,64535,354,ex354,53553,114,0,33654048,9,test
0,uid0,64535,1016,ex1016,85340,135,1,33654421,10,test
0,uid0,64535,1012,ex1012,85295,123,1,33654622,11,test
0,uid0,64535,1015,ex1015,85339,135,1,33654729,12,test
0,uid0,64535,406,ex406,53765,123,1,34800345,13,test
0,uid0,64535,389,ex389,53697,114,1,34800551,14,test
0,uid0,64535,379,ex379,53657,123,1,34800597,15,test
0,uid0,64535,380,ex380,53661,123,1,34800681,16,test
0,uid0,64535,382,ex382,53669,123,1,34800987,17,test
1,uid1,64634,246,ex246,49275,113,0,24237223,0,train
1,uid1,64634,257,ex257,49286,113,1,24237687,1,train
1,uid1,64634,261,ex261,49290,113,1,24237857,2,train
1,uid1,64634,247,ex247,49276,113,1,24238088,3,train
1,uid1,64634,1577,ex1577,89712,40,1,24238576,4,train
1,uid1,64634,1565,ex1565,89670,40,0,24238815,5,train
1,uid1,64634,923,ex923,84892,40,1,24238997,6,train
1,uid1,64634,920,ex920,84889,40,1,24239473,7,train
1,uid1,64634,1592,ex1592,89727,40,0,24239588,8,train
1,uid1,64634,1580,ex1580,89715,40,1,24239641,9,train
1,uid1,64634,1556,ex1556,89661,40,1,24239690,10,train
1,uid1,64634,1613,ex1613,89748,40,1,24239747,11,train
1,uid1,64634,1682,ex1682,89904,40,0,24240358,12,train
1,uid1,64634,1735,ex1735,89957,40,0,24240934,13,train
1,uid1,64634,1694,ex1694,89916,40,0,24241008,14,train
1,uid1,64634,1702,ex1702,89924,40,0,24242053,15,train
1,uid1,64634,440,ex440,53836,40,1,24748952,16,train
1,uid1,64634,1743,ex1743,89965,40,0,24750132,17,train
1,uid1,64634,1683,ex1683,89905,40,0,24750732,18,train
1,uid1,64634,1643,ex1643,89855,40,1,24750820,19,train
1,uid1,64634,1726,ex1726,89948,40,0,24751090,20,train
1,uid1,64634,1634,ex1634,89827,40,1,24751129,21,train
1,uid1,64634,1703,ex1703,89925,40,1,24751151,22,train
1,uid1,64634,1645,ex1645,89857,40,1,24751185,23,train
1,uid1,64634,1768,ex1768,90537,42,1,24752234,24,train
1,uid1,64634,1777,ex1777,90692,138,0,24752270,25,train
1,uid1,64634,1774,ex1774,90658,42,1,24753818,26,train
1,uid1,64634,464,ex464,54051,41,1,25639553,27,train
1,uid1,64634,453,ex453,54007,41,1,25641010,28,train
1,uid1,64634,456,ex456,54019,41,1,25641193,29,train
1,uid1,64634,447,ex447,53983,41,1,25641376,30,train
1,uid1,64634,474,ex474,54091,41,1,25641546,31,train
1,uid1,64634,1533,ex1533,88541,39,0,25644746,32,train
1,uid1,64634,1198,ex1198,85972,102,0,26054781,33,train
1,uid1,64634,1206,ex1206,86048,102,0,26055499,34,train
1,uid1,64634,1147,ex1147,85907,102,1,26055713,35,train
1,uid1,64634,1146,ex1146,85906,102,1,26056111,36,train
1,uid1,64634,1222,ex1222,86070,102,1,26056234,37,train
1,uid1,64634,1463,ex1463,86906,121,0,27941087,38,train
1,uid1,64634,1453,ex1453,86880,121,0,27942796,39,train
1,uid1,64634,1444,ex1444,86850,121,0,27943180,40,train
1,uid1,64634,1056,ex1056,85729,107,0,27944583,41,train
1,uid1,64634,1058,ex1058,85733,107,0,27944849,42,train
