exercise_index,entity_id,original_question_id
0,ex0,_m10_assess || q1_i1 UpdateComboBox
1,ex1,_m10_assess || q1_i2 UpdateComboBox
2,ex2,_m10_assess || q1_i3 UpdateComboBox
3,ex3,_m10_assess || q1_i4 UpdateComboBox
4,ex4,_m10_assess || q1_i5 UpdateComboBox
5,ex5,_m10_assess || q1_i6 UpdateComboBox
6,ex6,_m10_assess || q1_i7 UpdateComboBox
7,ex7,_m10_assess || q1_i8 UpdateComboBox
8,ex8,_m11_assess || q1_i1 UpdateComboBox
9,ex9,_m11_assess || q1_i10 UpdateComboBox
10,ex10,_m11_assess || q1_i11 UpdateComboBox
11,ex11,_m11_assess || q1_i12 UpdateComboBox
12,ex12,_m11_assess || q1_i13 UpdateComboBox
13,ex13,_m11_assess || q1_i14 UpdateComboBox
14,ex14,_m11_assess || q1_i15 UpdateComboBox
15,ex15,_m11_assess || q1_i16 UpdateComboBox
16,ex16,_m11_assess || q1_i2 UpdateComboBox
17,ex17,_m11_assess || q1_i3 UpdateComboBox
18,ex18,_m11_assess || q1_i4 UpdateComboBox
19,ex19,_m11_assess || q1_i5 UpdateComboBox
20,ex20,_m11_assess || q1_i6 UpdateComboBox
21,ex21,_m11_assess || q1_i7 UpdateComboBox
22,ex22,_m11_assess || q1_i8 UpdateComboBox
23,ex23,_m11_assess || q1_i9 UpdateComboBox
24,ex24,_m11_assess || q2_i1 UpdateComboBox
25,ex25,_m11_assess || q2_i2 UpdateComboBox
26,ex26,_m11_assess || q3_i1 UpdateRadioButton
27,ex27,_m11_assess || q3_i2 UpdateRadioButton
28,ex28,_m11_assess || q3_i3 UpdateRadioButton
29,ex29,_m12_assess || q1_i1 UpdateHotspotMultiple
30,ex30,_m12_assess || q2_i1 UpdateComboBox
31,ex31,_m12_assess || q2_i2 UpdateComboBox
32,ex32,_m12_assess || q2_i3 UpdateComboBox
33,ex33,_m12_assess || q2_i4 UpdateComboBox
34,ex34,_m12_assess || q2_i5 UpdateComboBox
35,ex35,_m12_assess || q2_i6 UpdateComboBox
36,ex36,_m12_assess || q3_i1 UpdateHotspotMultiple
37,ex37,_m14_assess || q1_i1 UpdateComboBox
38,ex38,_m14_assess || q1_i2 UpdateComboBox
39,ex39,_m14_assess || q1_i3 UpdateComboBox
40,ex40,_m14_assess || q1_i4 UpdateComboBox
41,ex41,_m14_assess || q1_i5 UpdateComboBox
42,ex42,_m14_assess || q1_i6 UpdateComboBox
43,ex43,_m15_assess || q1_i1 UpdateComboBox
44,ex44,_m15_assess || q1_i2 UpdateComboBox
45,ex45,_m15_assess || q1_i3 UpdateComboBox
46,ex46,_m15_assess || q1_i4 UpdateComboBox
47,ex47,_m15_assess || q1_i5 UpdateComboBox
48,ex48,_m15_assess || q1_i6 UpdateComboBox
49,ex49,_m17_assess || q1_DB UpdateRadioButton
50,ex50,_m17_assess || q1_DE UpdateRadioButton
51,ex51,_m17_assess || q1_DE2 UpdateRadioButton
52,ex52,_m17_assess || q1_DF UpdateRadioButton
53,ex53,_m17_assess || q1_EB UpdateRadioButton
54,ex54,_m17_assess || q1_EC UpdateRadioButton
55,ex55,_m17_assess || q2_i1 UpdateNumberField
56,ex56,_m17_assess || q2_i2 UpdateNumberField
57,ex57,_m17_assess || q3_i1 UpdateComboBox
58,ex58,_m17_assess || q3_i2 UpdateComboBox
59,ex59,_m17_assess || q3_i3 UpdateComboBox
60,ex60,_m17_assess || q3_i4 UpdateComboBox
61,ex61,_m17_assess || q3_i5 UpdateComboBox
62,ex62,_m17_assess || q3_i6 UpdateComboBox
63,ex63,_m17_assess || q3_i7 UpdateComboBox
64,ex64,_m17_assess || q3_i8 UpdateComboBox
65,ex65,_m17_assess || q3_i9 UpdateComboBox
66,ex66,_m18_assess || q1_i1 UpdateComboBox
67,ex67,_m18_assess || q1_i2 UpdateComboBox
68,ex68,_m18_assess || q1_i3 UpdateComboBox
69,ex69,_m18_assess || q2_i1 UpdateComboBox
70,ex70,_m18_assess || q2_i2 UpdateComboBox
71,ex71,_m18_assess || q2_i3 UpdateComboBox
72,ex72,_m18_assess || q2_i4 UpdateComboBox
73,ex73,_m18_assess || q2_i5 UpdateComboBox
74,ex74,_m1_assess || q1_label UpdateHotspotSingle
75,ex75,_m1_assess || q1_point UpdateHotspotSingle
76,ex76,_m1_assess || q1_sense UpdateHotspotSingle
77,ex77,_m1_assess || q2_label UpdateHotspotSingle
78,ex78,_m1_assess || q2_point UpdateHotspotSingle
79,ex79,_m1_assess || q2_sense UpdateHotspotSingle
80,ex80,_m1_assess || q3_label UpdateHotspotSingle
81,ex81,_m1_assess || q3_point UpdateHotspotSingle
82,ex82,_m1_assess || q3_sense UpdateHotspotSingle
83,ex83,_m1_assess || q4_label UpdateHotspotSingle
84,ex84,_m1_assess || q4_point UpdateHotspotSingle
85,ex85,_m1_assess || q4_sense UpdateHotspotSingle
86,ex86,_m1_assess || q5_label UpdateHotspotSingle
87,ex87,_m1_assess || q5_point UpdateHotspotSingle
88,ex88,_m1_assess || q5_sense UpdateHotspotSingle
89,ex89,_m1_tutor1 || q1_A UpdateRadioButton
90,ex90,_m1_tutor1 || q2_A UpdateRadioButton
91,ex91,_m1_tutor1 || q3_A UpdateRadioButton
92,ex92,_m1_tutor1 || q4_A UpdateRadioButton
93,ex93,_m1_tutor1 || q5_A UpdateRadioButton
94,ex94,_m1_tutor10 || q1_i1 UpdateHotspotSingle
95,ex95,_m1_tutor10 || q2_i1 UpdateHotspotSingle
96,ex96,_m1_tutor10 || q3_i1 UpdateHotspotSingle
97,ex97,_m1_tutor10 || q4_i1 UpdateHotspotSingle
98,ex98,_m1_tutor11 || q1_i1 UpdateHotspotSingle
99,ex99,_m1_tutor11 || q2_i1 UpdateHotspotSingle
100,ex100,_m1_tutor11 || q3_i1 UpdateHotspotSingle
101,ex101,_m1_tutor11 || q4_i1 UpdateHotspotSingle
102,ex102,_m1_tutor12 || q1_i1 UpdateHotspotSingle
103,ex103,_m1_tutor12 || q2_i1 UpdateHotspotSingle
104,ex104,_m1_tutor12 || q3_i1 UpdateHotspotSingle
105,ex105,_m1_tutor12 || q4_i1 UpdateHotspotSingle
106,ex106,_m1_tutor13 || q1_i1 UpdateHotspotSingle
107,ex107,_m1_tutor13 || q2_i1 UpdateHotspotSingle
108,ex108,_m1_tutor13 || q3_i1 UpdateHotspotSingle
109,ex109,_m1_tutor13 || q4_i1 UpdateHotspotSingle
110,ex110,_m1_tutor14 || q1_i1 UpdateHotspotSingle
111,ex111,_m1_tutor14 || q2_i1 UpdateHotspotSingle
112,ex112,_m1_tutor14 || q3_i1 UpdateHotspotSingle
113,ex113,_m1_tutor14 || q4_i1 UpdateHotspotSingle
114,ex114,_m1_tutor15 || q1_i1 UpdateHotspotSingle
115,ex115,_m1_tutor15 || q2_i1 UpdateHotspotSingle
116,ex116,_m1_tutor15 || q3_i1 UpdateHotspotSingle
117,ex117,_m1_tutor15 || q4_i1 UpdateHotspotSingle
118,ex118,_m1_tutor16 || q1_i1 UpdateHotspotSingle
119,ex119,_m1_tutor16 || q2_i1 UpdateHotspotSingle
120,ex120,_m1_tutor16 || q3_i1 UpdateHotspotSingle
121,ex121,_m1_tutor16 || q4_i1 UpdateHotspotSingle
122,ex122,_m1_tutor17 || q1_i1 UpdateHotspotSingle
123,ex123,_m1_tutor18 || q1_i1 UpdateHotspotSingle
124,ex124,_m1_tutor18 || q2_i1 UpdateHotspotSingle
125,ex125,_m1_tutor18 || q3_i1 UpdateHotspotSingle
126,ex126,_m1_tutor18 || q4_i1 UpdateHotspotSingle
127,ex127,_m1_tutor19 || q1_i1 UpdateHotspotSingle
