uid,entity_id,original_uid,question,entity_exercise_id,original_question,concepts,response,timestamp,sequence_order,split
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,156,ex156,_m2_assess || q1_point1i1 UpdateComboBox,41,1,2011/9/21 17:35,0,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,164,ex164,_m2_assess || q1_point3i3 UpdateComboBox,34,1,2011/9/21 17:35,1,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,172,ex172,_m2_assess || q1_point6i2 UpdateComboBox,86,0,2011/9/21 17:35,2,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,157,ex157,_m2_assess || q1_point1i2 UpdateComboBox,80,1,2011/9/21 17:35,3,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,165,ex165,_m2_assess || q1_point4i1 UpdateComboBox,41,1,2011/9/21 17:35,4,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,173,ex173,_m2_assess || q1_point6i3 UpdateComboBox,86,0,2011/9/21 17:35,5,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,158,ex158,_m2_assess || q1_point1i3 UpdateComboBox,80,1,2011/9/21 17:35,6,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,166,ex166,_m2_assess || q1_point4i2 UpdateComboBox,93,1,2011/9/21 17:35,7,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,174,ex174,_m2_assess || q1_point7i1 UpdateComboBox,41,1,2011/9/21 17:35,8,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,159,ex159,_m2_assess || q1_point2i1 UpdateComboBox,41,0,2011/9/21 17:35,9,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,167,ex167,_m2_assess || q1_point4i3 UpdateComboBox,93,1,2011/9/21 17:35,10,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,175,ex175,_m2_assess || q1_point7i2 UpdateComboBox,80,1,2011/9/21 17:35,11,train
0,uid0,Stu_00b2b35fd027e7891e8a1a527125dd65,160,ex160,_m2_assess || q1_point2i2 UpdateComboBox,86,0,2011/9/21 17:35,12,train
