uid,entity_id,original_uid,split
0,uid0,0,train
1,uid1,1,train
2,uid2,2,train
3,uid3,3,train
4,uid4,4,train
5,uid5,5,train
6,uid6,6,train
7,uid7,7,train
8,uid8,8,train
9,uid9,9,train
10,uid10,10,train
11,uid11,11,train
12,uid12,12,train
13,uid13,13,train
14,uid14,14,train
15,uid15,15,train
16,uid16,16,train
17,uid17,17,train
18,uid18,18,train
19,uid19,19,train
20,uid20,20,train
21,uid21,21,train
22,uid22,22,train
23,uid23,23,train
24,uid24,24,train
25,uid25,25,train
26,uid26,26,train
27,uid27,27,train
28,uid28,28,train
29,uid29,29,train
30,uid30,30,train
31,uid31,31,train
32,uid32,32,train
33,uid33,33,train
34,uid34,34,train
35,uid35,35,train
36,uid36,36,train
37,uid37,37,train
38,uid38,38,train
39,uid39,39,train
40,uid40,40,train
41,uid41,41,train
42,uid42,42,train
43,uid43,43,train
44,uid44,44,train
45,uid45,45,train
46,uid46,46,train
47,uid47,47,train
48,uid48,48,train
49,uid49,49,train
50,uid50,50,train
51,uid51,51,train
52,uid52,52,train
53,uid53,53,train
54,uid54,54,train
55,uid55,55,train
56,uid56,56,train
57,uid57,57,train
58,uid58,58,train
59,uid59,59,train
60,uid60,60,train
61,uid61,61,train
62,uid62,62,train
63,uid63,63,train
64,uid64,64,train
65,uid65,65,train
66,uid66,66,train
67,uid67,67,train
68,uid68,68,train
69,uid69,69,train
70,uid70,70,train
71,uid71,71,train
72,uid72,72,train
73,uid73,73,train
74,uid74,74,train
75,uid75,75,train
76,uid76,76,train
77,uid77,77,train
78,uid78,78,train
79,uid79,79,train
80,uid80,80,train
81,uid81,81,train
82,uid82,82,train
83,uid83,83,train
84,uid84,84,train
85,uid85,85,train
86,uid86,86,train
87,uid87,87,train
88,uid88,88,train
89,uid89,89,train
90,uid90,90,train
91,uid91,91,train
92,uid92,92,train
93,uid93,93,train
94,uid94,94,train
95,uid95,95,train
96,uid96,96,train
97,uid97,97,train
98,uid98,98,train
99,uid99,99,train
100,uid100,100,train
101,uid101,101,train
102,uid102,102,train
103,uid103,103,train
104,uid104,104,train
105,uid105,105,train
106,uid106,106,train
107,uid107,107,train
108,uid108,108,train
109,uid109,109,train
110,uid110,110,train
111,uid111,111,train
112,uid112,112,train
113,uid113,113,train
114,uid114,114,train
115,uid115,115,train
116,uid116,116,train
117,uid117,117,train
118,uid118,118,train
119,uid119,119,train
120,uid120,120,train
121,uid121,121,train
122,uid122,122,train
123,uid123,123,train
124,uid124,124,train
125,uid125,125,train
126,uid126,126,train
127,uid127,127,train
128,uid128,128,train
129,uid129,129,train
130,uid130,130,train
131,uid131,131,train
132,uid132,132,train
133,uid133,133,train
134,uid134,134,train
135,uid135,135,train
136,uid136,136,train
137,uid137,137,train
138,uid138,138,train
139,uid139,139,train
140,uid140,140,train
141,uid141,141,train
142,uid142,142,train
143,uid143,143,train
144,uid144,144,train
145,uid145,145,train
146,uid146,146,train
147,uid147,147,train
148,uid148,148,train
149,uid149,149,train
150,uid150,150,train
151,uid151,151,train
152,uid152,152,train
153,uid153,153,train
154,uid154,154,train
155,uid155,155,train
156,uid156,156,train
157,uid157,157,train
158,uid158,158,train
159,uid159,159,train
160,uid160,160,train
161,uid161,161,train
162,uid162,162,train
163,uid163,163,train
164,uid164,164,train
165,uid165,165,train
166,uid166,166,train
167,uid167,167,train
168,uid168,168,train
169,uid169,169,train
170,uid170,170,train
171,uid171,171,train
172,uid172,172,train
173,uid173,173,train
174,uid174,174,train
175,uid175,175,train
176,uid176,176,train
177,uid177,177,train
178,uid178,178,train
179,uid179,179,train
180,uid180,180,train
181,uid181,181,train
182,uid182,182,train
183,uid183,183,train
184,uid184,184,train
185,uid185,185,train
186,uid186,186,train
187,uid187,187,train
188,uid188,188,train
189,uid189,189,train
190,uid190,190,train
191,uid191,191,train
192,uid192,192,train
193,uid193,193,train
194,uid194,194,train
195,uid195,195,train
196,uid196,196,train
197,uid197,197,train
198,uid198,198,train
199,uid199,199,train
200,uid200,200,train
201,uid201,201,train
202,uid202,202,train
203,uid203,203,train
204,uid204,204,train
205,uid205,205,train
206,uid206,206,train
207,uid207,207,train
208,uid208,208,train
209,uid209,209,train
210,uid210,210,train
211,uid211,211,train
212,uid212,212,train
213,uid213,213,train
214,uid214,214,train
215,uid215,215,train
216,uid216,216,train
217,uid217,217,train
218,uid218,218,train
219,uid219,219,train
220,uid220,220,train
221,uid221,221,train
222,uid222,222,train
223,uid223,223,train
224,uid224,224,train
225,uid225,225,train
226,uid226,226,train
227,uid227,227,train
228,uid228,228,train
229,uid229,229,train
230,uid230,230,train
231,uid231,231,train
232,uid232,232,train
233,uid233,233,train
234,uid234,234,train
235,uid235,235,train
236,uid236,236,train
237,uid237,237,train
238,uid238,238,train
239,uid239,239,train
240,uid240,240,train
241,uid241,241,train
242,uid242,242,train
243,uid243,243,train
244,uid244,244,train
245,uid245,245,train
246,uid246,246,train
247,uid247,247,train
248,uid248,248,test
249,uid249,249,test
250,uid250,250,test
251,uid251,251,test
252,uid252,252,test
253,uid253,253,test
254,uid254,254,test
255,uid255,255,test
256,uid256,256,test
257,uid257,257,test
258,uid258,258,test
259,uid259,259,test
260,uid260,260,test
261,uid261,261,test
262,uid262,262,test
263,uid263,263,test
264,uid264,264,test
265,uid265,265,test
266,uid266,266,test
267,uid267,267,test
268,uid268,268,test
269,uid269,269,test
270,uid270,270,test
271,uid271,271,test
272,uid272,272,test
273,uid273,273,test
274,uid274,274,test
275,uid275,275,test
276,uid276,276,test
277,uid277,277,test
278,uid278,278,test
279,uid279,279,test
280,uid280,280,test
281,uid281,281,test
282,uid282,282,test
283,uid283,283,test
284,uid284,284,test
285,uid285,285,test
286,uid286,286,test
287,uid287,287,test
